date,timestamp,hr_value
2026-02-24,1771914840000,65
2026-02-24,1771914960000,66
2026-02-24,1771915080000,67
2026-02-24,1771915200000,68
2026-02-24,1771915320000,66
2026-02-24,1771915440000,67
2026-02-24,1771915560000,65
2026-02-24,1771915680000,67
2026-02-24,1771915800000,68
2026-02-24,1771915920000,67
2026-02-24,1771916040000,72
2026-02-24,1771916160000,68
2026-02-24,1771916280000,67
2026-02-24,1771916400000,66
2026-02-24,1771916520000,66
2026-02-24,1771916640000,68
2026-02-24,1771916760000,66
2026-02-24,1771916880000,65
2026-02-24,1771917000000,67
2026-02-24,1771917120000,70
2026-02-24,1771917240000,72
2026-02-24,1771917360000,69
2026-02-24,1771917480000,67
2026-02-24,1771917600000,68
2026-02-24,1771917720000,67
2026-02-24,1771917840000,67
2026-02-24,1771917960000,66
2026-02-24,1771918080000,66
2026-02-24,1771918200000,66
2026-02-24,1771918320000,66
2026-02-24,1771918440000,66
2026-02-24,1771918560000,66
2026-02-24,1771918680000,66
2026-02-24,1771918800000,66
2026-02-24,1771918920000,67
2026-02-24,1771919040000,66
2026-02-24,1771919160000,67
2026-02-24,1771919280000,66
2026-02-24,1771919400000,66
2026-02-24,1771919520000,66
2026-02-24,1771919640000,66
2026-02-24,1771919760000,67
2026-02-24,1771919880000,67
2026-02-24,1771920000000,67
2026-02-24,1771920120000,72
2026-02-24,1771920240000,70
2026-02-24,1771920360000,69
2026-02-24,1771920480000,70
2026-02-24,1771920600000,68
2026-02-24,1771920720000,70
2026-02-24,1771920840000,70
2026-02-24,1771920960000,68
2026-02-24,1771921080000,67
2026-02-24,1771921200000,68
2026-02-24,1771921320000,67
2026-02-24,1771921440000,67
2026-02-24,1771921560000,66
2026-02-24,1771921680000,67
2026-02-24,1771921800000,66
2026-02-24,1771921920000,67
2026-02-24,1771922040000,71
2026-02-24,1771922160000,67
2026-02-24,1771922280000,66
2026-02-24,1771922400000,68
2026-02-24,1771922520000,69
2026-02-24,1771922640000,69
2026-02-24,1771922760000,73
2026-02-24,1771922880000,66
2026-02-24,1771923000000,67
2026-02-24,1771923120000,67
2026-02-24,1771923240000,81
2026-02-24,1771923360000,82
